link,id,price_czk,size_sqm,floor,rooms,district_num,neighborhood,date_updated,Buy Or Sell,seller_name
https://www.sreality.cz/detail/prodej/byt/4+1/praha-vinohrady-uruguayska/557159244,557159244,29590000,165,3,4+1,2,Vinohrady,Včera,buy,Sergej Gončarov
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-rubesova/3112395596,3112395596,6900000,26,,1+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-rimska/2651542348,2651542348,9881500,35,,1+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-polska/2027713356,2027713356,1,146,7,4+kk,2,Vinohrady,Včera,buy,SATPO klientské centrum
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nove-mesto-zahoranskeho/4020908876,4020908876,27000000,128,5,4+kk,2,Nové Město,Včera,buy,Zuzana Štafurová
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nove-mesto-sokolska/2274583372,2274583372,6490000,41,1,1+kk,2,Nové Město,Dnes,buy,Anna Černá
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-polska/1222406988,1222406988,16590000,58,2,2+kk,2,Vinohrady,Dnes,buy,SATPO klientské centrum
https://www.sreality.cz/detail/prodej/byt/4+1/praha-vinohrady-uruguayska/557159244,557159244,29990000,165,3,4+1,2,Vinohrady,Včera,buy,Sergej Gončarov
https://www.sreality.cz/detail/prodej/byt/3+1/praha-vinohrady-polska/3906761548,3906761548,34690000,121,4,3+1,2,Vinohrady,Dnes,buy,SATPO klientské centrum
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-halkova/1752392268,1752392268,10990000,49,4,2+kk,2,Nové Město,08.04.2026,buy,Pavol Bak
https://www.sreality.cz/detail/prodej/byt/3+1/praha-nusle-oldrichova/793797452,793797452,9290000,97,,3+1,,nusle,,buy,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-polska/970748748,970748748,25990000,97,6,3+kk,2,Vinohrady,Dnes,buy,SATPO klientské centrum
https://www.sreality.cz/detail/prodej/byt/2+1/praha-vinohrady-lublanska/2067034956,2067034956,12000000,66,2,2+1,2,Vinohrady,Dnes,buy,Kacafírková Veronika
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-skretova/60654412,60654412,18499000,120,,4+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-belehradska/2747069260,2747069260,23680000,135,2,4+kk,2,Vinohrady,Včera,buy,Simon Lukavský
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-polska/1507619660,1507619660,16490000,56,7,2+kk,2,Vinohrady,Včera,buy,SATPO klientské centrum
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-polska/165442380,165442380,27990000,97,7,2+kk,2,Vinohrady,Včera,buy,SATPO klientské centrum
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-rybalkova/2382123852,2382123852,10500000,39,2,2+kk,2,Vinohrady,Včera,buy,Michaela Koudelová
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-machova/3996513100,3996513100,8983850,67,1,2+kk,2,Vinohrady,Včera,buy,Michaela Koudelová
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-na-zderaze/2046223180,2046223180,12500000,77,6,2+kk,2,Nové Město,Včera,buy,Michaela Koudelová
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-na-zderaze/1761010508,1761010508,10900000,49,6,2+kk,2,Nové Město,Včera,buy,Michaela Koudelová
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nove-mesto-halkova/2521248588,2521248588,35500000,229,6,4+kk,2,Nové Město,Včera,buy,Michaela Koudelová
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-vinohradska/3054515020,3054515020,25000000,130,6,4+kk,2,Vinohrady,Včera,buy,Michaela Koudelová
https://www.sreality.cz/detail/prodej/byt/5+kk/praha-vinohrady-jana-masaryka/3477807948,3477807948,47750000,209,6,5+kk,2,Vinohrady,Včera,buy,Michaela Koudelová
https://www.sreality.cz/detail/prodej/byt/3+1/praha-vinohrady-zahrebska/1169167180,1169167180,18900000,98,,3+1,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-manesova/1940329292,1940329292,27000000,102,5,4+kk,2,Vinohrady,Včera,buy,Michaela Koudelová
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nove-mesto-podskalska/2101085004,2101085004,1,126,7,3+kk,2,Nové Město,Včera,buy,Michaela Koudelová
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-slezska/2159543116,2159543116,22900000,110,,3+kk,,vinohrady,,buy,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-machova/2627408716,2627408716,6036980,39,1,2+kk,2,Vinohrady,Včera,buy,Michaela Koudelová
